Timestamp,Do you consent to our terms and services?,What is your opinion on expanding federally implemented universal health care?,What are your thoughts on pineapple on pizza? ,Question 1 Evaluation,Question 2 Evaluation
2021/02/27 2:39:29 PM MST,I consent,I think we should have universal healthcare for everyone.,Pineapple on pizza is a really good idea.,Positive,Positive
2021/02/27 11:17:19 PM MST,I consent,"I believe that we should have a free universal healthcare system, not just a universal health insurance. I would advocate for a completely parallel system funded by the federal government with its own doctors, nurses and hospitals. Every person should have a right to use it. Of course, I would not ban private healthcare too. People should have a choice whether to go to a government hospital or doctor or a private one. Private system should not be subsidized by any government money.","I really like a pineapple and ham pizza, so I am definitely for it.",Positive,Positive
2021/03/01 1:09:18 PM MST,I consent,"I believe universal health care would not only provide better health care for everyone, but it would also reduce costs considerably. The cost reduction is already proven to be the case in several other countries. One disadvantage might be long wait times for treatment until the system is expanded enough to accommodate the increase of people seeking health care because it is more affordable. A greater percentage of people being treated would not only increase health benefits, it would also help prevent the spread of diseases like COVID-19.","Since I do like pineapple and it goes well with things like sausage and pepperoni, I like it as an option on pizza; however, since pizza without it also tastes good, pineapple is not a requirement for pizza in my case. I would like pineapple on pizza even more if it could somehow be used to reduce the amount of salt found in pizza.",Positive,Positive
2021/03/01 1:50:06 PM MST,I consent,I do not have an opinion on that matter,It is good,N/A,Positive
2021/03/01 4:41:10 PM MST,I consent,everyone should be able to get the care they need regardless of how much money they  make. expanding healthcare could result in better health systems for people who don’t have insurance. healthcare needs to be affordable so people don’t have to worry about going to the hospital and having to deal with the thousands of dollars in bills and fees. ,wretched. disgusting. 10/10 should not be allowed. ,Positive,Negative
2021/03/01 5:05:04 PM MST,I consent,Good,Not my thing,Positive,Negative
2021/03/01 5:36:12 PM MST,I consent,"Would be pretty epic, but you gotta also consider the economy. Unfortunately it tends to collapse when too many things become free.",Ew.,Positive,Negative
2021/03/01 5:46:37 PM MST,I consent,"i think universal health care is super important, and should be a given ! it’s important that people get the support they need in every aspect of health care, from women’s health to mental health and everything else etc etc ",absolutely love it ,Positive,Positive
2021/03/01 6:02:32 PM MST,I consent,I believe it should be done. People should still have the choice of opting for privatized healthcare but there should be a Federal healthcare system implemented. ,"Wack. On some pizzas I could understand, sometimes you need an element of sweetness to balance out the savoriness or to enrich umami, but the pineapple has to be prepared correctly, you can’t just throw it on the pizza and let it bake and get all soggy. What I would recommend is grilling the pineapple over a flame or in a broiler or even throwing them on the pizza out of the oven and putting it under the broiler. ",Positive,Negative
2021/03/01 7:48:32 PM MST,I consent,"In order to accommodate the millions of uninsured Americans in this country and to give everyone an equal opportunity to receive quality health insurance and care. The rich don’t receive better trained fire fighters when their house is burning down just because they can afford a premium. Healthcare is a human right, and, just like in literally almost every other developed country we should at least guarantee the bare minimum that family’s shouldn’t go bankrupt paying medical bills. EVER. ",To each their own. ,Positive,N/A
2021/03/02 1:03:08 AM MST,I consent,.,"You need mental help if ypu like pineapllle pizza
",N/A,Negative
2021/03/02 6:49:48 AM MST,I consent,Would be nice for America,Not that bad ,Positive,Positive
2021/03/03 4:24:19 PM MST,I consent,I think it is necessary,depends on my mood,Positive,N/A
2021/03/03 4:26:41 PM MST,I consent,"I think it's an excellent idea that would benefit all of America--not just those who would have insurance they hadn't had before. Universal health care would provide higher quality options for many with lower quality private plans, it would save taxpayers in the long run because it would create a healthier population, and it would allow us to better meet what I feel are our moral obligations as an industrialized nation. ","I think pineapple is the perfect pizza topping. In fact, it's my favorite pizza topping and is especially amazing with the pizza also includes spinach and creamcheese. ",Positive,Positive
2021/03/03 4:27:49 PM MST,I consent,Coming from a country that has universal health care can be beneficial for the majority of the people but sometimes there is no a choice of doctors or hospital. And the waiting time can be Rey long to be helped.   I have mix feelings about expanding federally implemented universal health care.,I love the combination of sweet and salty.,N/A,Positive
2021/03/03 4:37:42 PM MST,I consent,Not in favor ,Not in favor,Negative,Negative
2021/03/03 4:54:07 PM MST,I consent,Don't like it.,Don't like it.,Negative,Negative
2021/03/03 4:58:58 PM MST,I consent,"It's a necessity. Everyone needs and deserves health care, but the current system -- run by private insurers -- limits who can get it. I have never heard a valid argument in support of paying a ""middle man"" when it's so costly and inefficient. Medicare gets praise for serving more people with less money, so Medicare for All would be even better (I suppose).","A good way to wreck a pizza. You'll ask about green chile later, right?",Positive,Negative
2021/03/03 5:08:44 PM MST,I consent,Do it.  Health care is a responsible government's responsibility.,I love pineapple.  I love pizza.  But don't cross the streams.,Positive,Negative
2021/03/03 5:31:14 PM MST,I consent,"I'm all for it. It's about time. No family should have to chose between paying for food, rent, transportation and health care.",I love pineapple on pizza. It is an exciting change every once in awhile.,Positive,Positive
